,number,value,datetime_start,datetime_complete,duration,params_embedding_dim,params_g_lr_ratio,params_hidden_dim,params_k_steps,params_label_fake,params_label_real,params_lr_d,params_noise_dim,state
0,0,0.6962025316455697,2025-12-13 15:22:12.701424,2025-12-13 15:24:09.320602,0 days 00:01:56.619178,256,0.8095922726237326,128,2,0.06916627320377347,0.8032980013412185,0.0005975250513947662,100,COMPLETE
1,1,0.5344585091420534,2025-12-13 15:24:09.320795,2025-12-13 15:28:18.666136,0 days 00:04:09.345341,256,0.6093949898065939,256,1,0.11723488204449178,0.8556861741227355,1.545401613628848e-05,100,COMPLETE
2,2,0.4078762306610408,2025-12-13 15:28:18.666301,2025-12-13 15:29:39.131470,0 days 00:01:20.465169,64,0.14752535434553044,128,3,0.05984076430819048,0.9361505887910726,1.2659779294044807e-05,100,COMPLETE
3,3,0.639943741209564,2025-12-13 15:29:39.131655,2025-12-13 15:32:01.222195,0 days 00:02:22.090540,256,0.5331377630707288,128,1,0.04113998723464532,0.9436346437940868,0.0001426665424831378,100,COMPLETE
4,4,0.7018284106891702,2025-12-13 15:32:01.222353,2025-12-13 15:38:52.689086,0 days 00:06:51.466733,256,0.7569556999311683,512,1,0.16205163607894688,0.87267890232261,0.00016303836016423639,100,COMPLETE
5,5,0.7074542897327707,2025-12-13 15:38:52.689250,2025-12-13 15:45:44.125403,0 days 00:06:51.436153,256,0.25900216762748207,512,1,0.13724455399195704,0.972467952290123,0.0007869058367362564,100,COMPLETE
6,6,0.3530239099859353,2025-12-13 15:45:44.125565,2025-12-13 15:45:55.629683,0 days 00:00:11.504118,128,0.8115350770173915,256,1,0.17718202065752192,0.9242469612114669,5.0761443860272095e-05,100,PRUNED
7,7,0.2545710267229255,2025-12-13 15:45:55.629789,2025-12-13 15:46:01.201012,0 days 00:00:05.571223,128,0.8319377601078433,128,3,0.029546043895466136,0.816542710615623,2.2561149329479327e-05,100,PRUNED
8,8,0.3558368495077356,2025-12-13 15:46:01.201114,2025-12-13 15:46:13.975495,0 days 00:00:12.774381,64,0.6789185707518477,512,2,0.1943184047599111,0.8371241807502237,6.12870476566558e-05,100,PRUNED
9,9,0.7018284106891702,2025-12-13 15:46:13.975610,2025-12-13 15:48:57.844261,0 days 00:02:43.868651,128,0.6520778336582346,256,2,0.07144503910936588,0.9032976407442213,0.00086849284112502,100,COMPLETE
10,10,0.49226441631504925,2025-12-13 15:48:57.844424,2025-12-13 15:49:13.120524,0 days 00:00:15.276100,256,0.2430667973609613,512,2,0.1333402816511866,0.9982643192422057,0.00039199053343880815,100,PRUNED
11,11,0.48523206751054854,2025-12-13 15:49:13.120625,2025-12-13 15:49:33.664794,0 days 00:00:20.544169,256,0.38077811037917686,512,1,0.15105886958498285,0.8715420063845727,0.00021216603443768034,100,PRUNED
12,12,0.7032348804500703,2025-12-13 15:49:33.664897,2025-12-13 15:56:24.469571,0 days 00:06:50.804674,256,0.40928675043709367,512,1,0.15722421689816116,0.9841669845713515,0.00030939662599519625,100,COMPLETE
13,13,0.6849507735583685,2025-12-13 15:56:24.469725,2025-12-13 16:01:32.620723,0 days 00:05:08.150998,256,0.4023705434117846,512,1,0.09943598634198178,0.9960394150620726,0.0003994111550834863,100,PRUNED
14,14,0.7060478199718706,2025-12-13 16:01:32.620830,2025-12-13 16:06:38.833210,0 days 00:05:06.212380,256,0.9886458004657313,512,2,0.10666369752603962,0.9667010122092007,0.00033079078979121026,100,COMPLETE
15,15,0.46272855133614627,2025-12-13 16:06:38.833378,2025-12-13 16:06:51.464693,0 days 00:00:12.631315,64,0.9939663157640733,512,2,0.0998593073814359,0.9624758535297129,0.0008482136463378511,100,PRUNED
16,16,0.530239099859353,2025-12-13 16:06:51.464797,2025-12-13 16:07:18.465139,0 days 00:00:27.000342,256,0.9799264043146098,512,3,0.004246668840834439,0.9618818846318256,0.0005515416399283984,100,PRUNED
17,17,0.5021097046413502,2025-12-13 16:07:18.465252,2025-12-13 16:07:31.976274,0 days 00:00:13.511022,256,0.2850446590887559,512,3,0.12487110844847107,0.9645444134395994,0.00024554783408508495,100,PRUNED
18,18,0.3333333333333333,2025-12-13 16:07:31.976380,2025-12-13 16:07:44.556498,0 days 00:00:12.580118,64,0.1125229688311434,512,2,0.0945918572499869,0.9068357179988479,8.347472072097992e-05,100,PRUNED
