,number,value,datetime_start,datetime_complete,duration,params_dropout,params_g_lr_ratio,params_g_steps,params_hidden_dim,params_k_steps,params_label_fake,params_label_real,params_lr_d,params_nhead,params_num_layers,state
0,0,,2025-12-12 06:02:22.024517,2025-12-12 06:02:35.023010,0 days 00:00:12.998493,0.19344261163822152,0.395252710916697,1,512,3,0.18691385647335979,0.8546286186697761,0.00024652730877688456,4,2,FAIL
1,1,,2025-12-12 06:03:01.446996,2025-12-12 06:03:02.287417,0 days 00:00:00.840421,0.16486436664602536,0.5456858853274993,3,512,2,0.07431785507206619,0.9378726572340728,0.00024743406517908955,2,4,PRUNED
2,2,,2025-12-12 06:03:02.294523,2025-12-12 06:03:02.355346,0 days 00:00:00.060823,0.15866632378680506,1.0210392125863683,2,128,3,0.1002063398164774,0.8665199874572658,0.00045091476614613754,8,2,PRUNED
3,3,,2025-12-12 06:03:02.361712,2025-12-12 06:03:02.416927,0 days 00:00:00.055215,0.13461259838194498,0.698311112381833,2,128,1,0.15506902661133715,0.9664017892511577,0.00015255025771324833,2,2,PRUNED
4,4,,2025-12-12 06:03:02.422896,2025-12-12 06:03:02.479138,0 days 00:00:00.056242,0.15638245646744453,0.562389010179103,2,256,2,0.04459981549187782,0.8572400111484042,0.00028573589507070187,8,3,PRUNED
5,5,,2025-12-12 06:03:02.484222,2025-12-12 06:03:02.652981,0 days 00:00:00.168759,0.2593249799248539,0.3309368844986069,2,256,2,0.06539381123351647,0.906611053877532,9.782862629140545e-05,4,2,PRUNED
6,6,,2025-12-12 06:03:02.659657,2025-12-12 06:03:02.715964,0 days 00:00:00.056307,0.16400063163749456,0.5427059203357381,2,256,1,0.14392239005923588,0.9454552419164343,0.0003480891781661783,2,3,PRUNED
7,7,,2025-12-12 06:03:02.721148,2025-12-12 06:03:02.779520,0 days 00:00:00.058372,0.20956037125206195,0.5745251330889259,3,256,3,0.00788154799846359,0.9038104321365441,0.0001754971825751609,2,3,PRUNED
8,8,,2025-12-12 06:03:02.784978,2025-12-12 06:03:02.841346,0 days 00:00:00.056368,0.23423100671747074,0.6053789487161929,3,256,2,0.041305044284244176,0.9928406856292351,0.00012346254140648756,8,3,PRUNED
9,9,,2025-12-12 06:03:02.846484,2025-12-12 06:03:02.924332,0 days 00:00:00.077848,0.1607433567849457,0.1507272428075908,3,512,2,0.04259695186978223,0.8928736057491964,0.00019023666960906317,4,3,PRUNED
